gene,ensembl_id,token_coverage,n_cells_with_token,is_signal_pathway,n_ko_cells
EMP1,ENSG00000134531,0.05,15,False,942
TSC22D3,ENSG00000157514,0.05,15,False,681
SDC3,ENSG00000162512,0.05,15,False,753
P2RX4,ENSG00000135124,0.0467,14,False,323
BOLA2B,ENSG00000169627,0.0433,13,False,678
FOS,ENSG00000170345,0.0433,13,False,721
CTSO,ENSG00000256043,0.0333,10,False,1050
MC1R,ENSG00000258839,0.0333,10,False,728
TAPBPL,ENSG00000139192,0.0267,8,False,635
ENPP1,ENSG00000197594,0.0267,8,False,848
NSG1,ENSG00000168824,0.0267,8,False,701
RNASEH2A,ENSG00000104889,0.0267,8,False,309
KLF4,ENSG00000136826,0.0233,7,False,731
MIA,ENSG00000261857,0.0233,7,False,750
JAK2,ENSG00000096968,0.0233,7,True,1120
CYP27A1,ENSG00000135929,0.02,6,False,946
GPNMB,ENSG00000136235,0.02,6,False,802
LCP1,ENSG00000136167,0.02,6,False,879
HASPIN,ENSG00000177602,0.02,6,False,495
TTLL1,ENSG00000100271,0.0167,5,False,673
CORO1A,ENSG00000102879,0.0167,5,False,898
ACTA2,ENSG00000107796,0.01,3,False,1458
TP53,ENSG00000141510,0.01,3,True,554
LY96,ENSG00000154589,0.0067,2,False,789
RTP4,ENSG00000136514,0.0067,2,False,822
CITED1,ENSG00000125931,0.0067,2,False,1109
SERPINF1,ENSG00000132386,0.0033,1,False,659
CXCR4,ENSG00000121966,0.0033,1,False,842
CCR10,ENSG00000184451,0.0033,1,False,988
CSPG4,ENSG00000173546,0.0033,1,False,1195
SPINT1,ENSG00000166145,0.0033,1,False,625
XAGE1A,ENSG00000204379,0.0033,1,False,403
EEF1G,ENSG00000254772,0.0033,1,False,188
APOD,ENSG00000189058,0.0,0,False,1113
HLA-DRB5,ENSG00000198502,0.0,0,False,1031
RBP7,ENSG00000162444,0.0,0,False,704
KDR,ENSG00000128052,0.0,0,False,831
CCND2,ENSG00000118971,0.0,0,False,1015
JMJD7,ENSG00000243789,0.0,0,False,918
A2M,ENSG00000175899,0.0,0,False,1331
CDH19,ENSG00000071991,0.0,0,False,1175
S100B,ENSG00000160307,0.0,0,False,682
BOLA2,ENSG00000183336,0.0,0,False,683
SERPINA3,ENSG00000196136,0.0,0,False,565
NGFR,ENSG00000064300,0.0,0,False,607
PIK3IP1,ENSG00000100100,0.0,0,False,605
WNT7A,ENSG00000154764,0.0,0,False,606
FRZB,ENSG00000162998,0.0,0,False,674
IRF4,ENSG00000137265,0.0,0,False,687
TRIM22,ENSG00000132274,0.0,0,False,450
ST6GALNAC2,ENSG00000070731,0.0,0,False,474
